JuegoNorm,Género,MediaViewers_K,PicoViewers_K,HorasVistas_M,PremiosUSD_M,Torneos,PremiosTotalesUSD_M,AñosActivos
dota 2,Multiplayer Online Battle Arena,58.922222,1636.4,4503.8,304.65,1323.0,360.46,9
fortnite,Battle Royale,102.75714,3291.5,6143.0,191.01,2293.0,191.01,7
counter-strike: global offensive,First-Person Shooter,68.375,1916.0,4315.6,152.84,5794.0,162.49,8
league of legends,Multiplayer Online Battle Arena,147.52222,3145.0,11296.8,86.68,1297.0,113.6,9
rocket league,Sports,10.655556,408.5,816.5,42.400000000000006,4477.0,42.26,9
overwatch,First-Person Shooter,23.485714,1459.2,1393.5,35.26,837.0,35.26,7
valorant,First-Person Shooter,117.619995,1729.0,4631.9,32.03,1316.0,32.02,5
hearthstone,Collectible Card Game,32.333332,331.2,2513.2,27.2,730.0,30.71,9
apex legends,Battle Royale,52.916668,666.9,2655.2000000000003,26.14,731.0,26.15,6
starcraft ii,Strategy,5.0666666,148.9,394.0,24.06,3918.0,42.69,9
arena of valor,Multiplayer Online Battle Arena,0.46666667,34.5,6.3999999999999995,20.0,72.0,98.75,3
league of legends: wild rift,Multiplayer Online Battle Arena,2.15,60.4,73.0,19.48,203.0,11.19,4
heroes of the storm,Multiplayer Online Battle Arena,3.7125,126.2,258.2,15.98,198.0,18.46,8
call of duty: warzone,First-Person Shooter,63.359997,1629.3,2681.5,12.91,406.0,12.9,5
overwatch 2,First-Person Shooter,33.100002,634.0,646.7,12.83,135.0,12.86,3
mobile legends: bang bang,Multiplayer Online Battle Arena,0.97499996,106.2,17.5,12.350000000000001,102.0,17.02,4
clash royale,Strategy,2.588889,630.8,198.6,9.06,132.0,9.06,9
teamfight tactics,Strategy,25.383333,358.2,1169.4,8.76,109.0,8.77,6
call of duty: mobile,First-Person Shooter,1.0,56.9,28.1,8.370000000000001,43.0,8.36,6
smite,Multiplayer Online Battle Arena,4.488889,150.4,345.2,8.33,55.0,12.58,9
brawl stars,Strategy,1.7666668,377.5,79.8,8.15,207.0,8.14,6
ea sports fc 24,Sports,37.0,596.0,312.3,7.36,76.0,7.36,2
call of duty: modern warfare,First-Person Shooter,9.0,161.2,19.7,7.15,71.0,7.5,1
halo 5: guardians,First-Person Shooter,1.0,128.3,25.799999999999997,7.09,100.0,7.16,3
halo infinite,First-Person Shooter,4.825,265.3,108.9,7.03,59.0,7.0,4
call of duty: black ops 4,First-Person Shooter,14.766666,586.5,248.9,6.74,84.0,6.73,3
call of duty: black ops cold war,First-Person Shooter,18.2,705.0,152.0,6.55,92.0,6.55,2
call of duty: vanguard,First-Person Shooter,10.0,326.4,73.8,6.319999999999999,91.0,6.32,2
world of warcraft,Role-Playing Game,37.5,1103.3,2628.9,6.23,150.0,9.15,8
fifa 23,Sports,38.75,487.8,326.5,6.19,99.0,6.2,2
call of duty: modern warfare ii,First-Person Shooter,27.0,759.1,243.5,6.12,38.0,6.12,2
call of duty: modern warfare iii,First-Person Shooter,20.85,447.9,135.5,6.02,15.0,6.02,2
counter-strike 2,First-Person Shooter,4.5,138.4,10.0,5.86,182.0,21.16,1
clash of clans,Strategy,1.1,52.8,10.4,5.77,75.0,6.09,6
street fighter 6,Fighting Game,17.400002,326.3,228.60000000000002,5.17,120.0,5.18,2
fifa 21,Sports,45.5,837.1,403.5,4.74,61.0,4.73,2
fifa 22,Sports,43.5,785.8,371.9,4.58,75.0,4.58,2
call of duty: wwii,First-Person Shooter,5.25,170.7,53.7,4.58,77.0,4.58,2
naraka: bladepoint,Role-Playing Game,2.0333333,114.9,27.7,4.36,14.0,4.36,3
call of duty: infinite warfare,First-Person Shooter,3.6,116.7,26.299999999999997,4.17,84.0,4.17,2
call of duty: black ops iii,First-Person Shooter,14.2,167.1,124.0,3.86,55.0,3.94,1
