JuegoNorm,Año,Género,MediaViewers_K,PicoViewers_K,HorasVistas_M,PremiosUSD_M,Torneos,PremiosTotalesUSD_M,JugadoresTotales,TorneosTotales
age of empires,2016,Strategy,0.3,107.5,0.2,0.06,22.0,0.74,624.0,341.0
age of empires ii,2016,Strategy,0.2,9.1,1.5,0.06,41.0,3.9,2256.0,1939.0
battlefield 4,2016,First-Person Shooter,0.9,482.9,6.4,0.01,3.0,0.25,204.0,145.0
battlerite,2016,Multiplayer Online Battle Arena,1.2,29.0,3.6,0.01,38.0,0.07,88.0,76.0
blade & soul,2016,Role-Playing Game,1.5,67.3,13.4,0.16,2.0,0.68,89.0,7.0
blazblue: central fiction,2016,Fighting Game,0.2,9.7,0.1,0.0,2.0,0.11,130.0,57.0
call of duty: black ops iii,2016,First-Person Shooter,14.2,167.1,124.0,3.86,55.0,3.94,424.0,78.0
call of duty: infinite warfare,2016,First-Person Shooter,5.1,105.1,11.2,0.13,4.0,4.17,343.0,84.0
call of duty: modern warfare 2,2016,First-Person Shooter,0.3,29.9,0.6,0.0,1.0,0.12,69.0,22.0
clash royale,2016,Strategy,1.8,80.6,13.5,0.23,7.0,9.06,563.0,132.0
counter-strike: global offensive,2016,First-Person Shooter,60.0,1059.0,526.4,17.27,863.0,162.49,16518.0,7033.0
dota 2,2016,Multiplayer Online Battle Arena,56.6,623.8,496.6,37.46,153.0,360.46,4980.0,1934.0
fifa 16,2016,Sports,4.9,145.7,32.1,0.1,18.0,0.12,62.0,29.0
fifa 17,2016,Sports,9.8,78.1,28.7,0.04,5.0,1.49,135.0,49.0
forza motorsport 6,2016,Racing,0.3,10.2,0.2,0.04,7.0,0.17,43.0,9.0
gears of war 4,2016,Third-Person Shooter,1.6,35.5,4.6,0.5,16.0,3.14,155.0,152.0
gears of war: ultimate edition,2016,Third-Person Shooter,0.3,16.3,1.5,0.17,3.0,0.17,39.0,3.0
guild wars 2,2016,Role-Playing Game,0.4,6.6,3.8,0.3,4.0,0.48,152.0,57.0
halo 5: guardians,2016,First-Person Shooter,1.6,93.7,14.2,3.41,36.0,7.16,248.0,109.0
hearthstone,2016,Collectible Card Game,54.0,331.2,474.0,3.49,143.0,30.71,3147.0,1162.0
heroes of newerth,2016,Multiplayer Online Battle Arena,0.3,4.5,2.8,0.25,24.0,3.07,820.0,395.0
heroes of the storm,2016,Multiplayer Online Battle Arena,4.6,86.5,40.1,4.66,69.0,18.46,1326.0,506.0
kartrider,2016,Racing,0.4,7.0,1.8,0.14,3.0,0.57,76.0,20.0
league of legends,2016,Multiplayer Online Battle Arena,118.1,952.3,1035.5,10.52,182.0,113.6,9588.0,3000.0
madden nfl 16,2016,Sports,0.9,18.1,5.1,0.05,1.0,0.05,8.0,1.0
madden nfl 17,2016,Sports,1.2,19.8,4.3,0.1,1.0,1.0,42.0,5.0
mechwarrior online,2016,First-Person Shooter,0.2,29.6,0.1,0.14,1.0,0.14,0.0,1.0
mortal kombat x,2016,Fighting Game,0.7,105.2,6.0,0.33,21.0,0.56,100.0,62.0
naruto shippuden: ultimate ninja storm 4,2016,Fighting Game,1.0,34.6,1.3,0.0,2.0,0.0,7.0,5.0
osu!,2016,Music / Rhythm Game,0.8,37.6,6.9,0.01,5.0,0.27,1059.0,251.0
overwatch,2016,First-Person Shooter,22.2,302.1,179.0,2.02,268.0,35.26,4047.0,847.0
paladins,2016,First-Person Shooter,0.6,31.2,1.8,0.1,3.0,2.49,571.0,79.0
pro evolution soccer 2016,2016,Sports,0.2,8.4,0.1,0.03,6.0,0.03,17.0,6.0
pro evolution soccer 2017,2016,Sports,0.2,13.6,0.2,0.0,11.0,0.51,39.0,16.0
rocket league,2016,Sports,2.6,82.9,22.6,0.51,388.0,42.26,6884.0,4542.0
smite,2016,Multiplayer Online Battle Arena,3.7,70.5,32.1,1.64,21.0,12.58,556.0,110.0
splatoon,2016,First-Person Shooter,0.3,128.4,1.1,0.0,1.0,0.0,3.0,4.0
starcraft ii,2016,Strategy,6.3,130.8,54.8,3.18,650.0,42.69,2280.0,7510.0
starcraft: brood war,2016,Strategy,0.3,10.0,0.5,0.08,13.0,7.56,663.0,542.0
