JuegoNorm,MediaViewers,PicoViewers,HorasVistas,PremiosUSD,Torneos
dota2,58927.41975308642,1636441,4503767707,304658018.46,1323.0
fortnite,92210.13541666667,3291525,6224642826,191012698.69,2293.0
csgo,68367.28958333333,1916027,4315553263,152845326.9,5794.0
lol,147528.20679012345,3145012,11296781271,86676191.28999999,1297.0
rocket league,10668.75925925926,408512,816479527,42406001.06,4477.0
overwatch,23504.088023088025,1459249,1393597856,35255905.38,837.0
valorant,117624.56666666668,1728977,4631862775,32018215.369999997,1316.0
hearthstone,32331.58024691358,331248,2513198715,27211530.400000002,730.0
apex legends,52917.95749158249,666868,2655211457,26153237.01,731.0
starcraft ii,5069.373456790123,148897,393959559,24064201.59,3918.0
