JuegoNorm,Año,PremiosUSD,Torneos
acceleration of suguri 2,2019,210.0,1
acceleration of suguri 2,2020,100.0,1
acceleration of suguri 2,2021,100.0,1
after-h,2021,15049.259999999998,4
after-h,2022,28536.32,8
after-h,2023,35677.82,5
after-h,2024,4600.0,1
age of empires,2016,64047.8,22
age of empires,2017,45863.54,26
age of empires,2018,42993.93,23
age of empires,2019,61270.0,35
age of empires,2020,61824.58,22
age of empires,2021,47297.7,25
age of empires,2022,106032.62,41
age of empires,2023,65835.77,44
age of empires,2024,175867.0,44
age of empires ii,2016,56391.14,41
age of empires ii,2017,102841.43,60
age of empires ii,2018,70965.03,100
age of empires ii,2019,138019.31,144
age of empires ii,2020,383378.29,226
age of empires ii,2021,636748.53,373
age of empires ii,2022,618931.9299999999,290
age of empires ii,2023,483796.4,283
age of empires ii,2024,504017.8,233
age of empires iii,2016,2120.0,6
age of empires iii,2017,3300.0,7
age of empires iii,2018,3750.0,16
age of empires iii,2019,9335.0,33
age of empires iii,2020,10603.0,17
age of empires iii,2021,20119.8,30
age of empires iii,2022,12780.0,12
age of empires iii,2023,2700.0,27
age of empires iii,2024,2940.4700000000003,8
age of empires iv,2021,84388.2,61
age of empires iv,2022,730319.28,179
age of empires iv,2023,222280.54,125
age of empires iv,2024,153825.42,58
age of empires online,2017,500.0,1
age of empires online,2018,1448.0,3
age of empires online,2019,154.0,2
age of empires online,2020,1246.56,3
age of empires online,2021,1605.0,5
age of empires online,2022,2353.0,21
age of empires online,2023,2775.0,14
age of empires online,2024,951.4200000000001,16
age of mythology,2016,4864.92,13
age of mythology,2017,2187.2200000000003,15
age of mythology,2018,1465.88,11
age of mythology,2019,2577.9300000000003,21
age of mythology,2020,5766.6900000000005,38
age of mythology,2021,8592.61,46
age of mythology,2022,9354.56,39
age of mythology,2023,11124.050000000001,38
age of mythology,2024,25674.55,23
aim gods,2020,250000.0,1
akatsuki blitzkampf,2020,20.0,1
among us,2020,66000.0,6
among us,2021,20000.0,2
apex legends,2019,2863382.6399999997,80
apex legends,2020,2270662.23,219
apex legends,2021,5141786.350000001,225
apex legends,2022,6361121.39,164
apex legends,2023,5263020.4,37
apex legends,2024,4253264.0,6
aquapazza: aquaplus dream match,2016,160.0,1
aquapazza: aquaplus dream match,2019,85.0,1
arcana heart 3: love max six stars!!!!!,2018,410.0,2
arcana heart 3: love max six stars!!!!!,2019,110.0,1
arcana heart 3: love max six stars!!!!!,2020,50.0,1
arcana heart 3: love max!!!!!,2016,210.0,1
arcana heart 3: love max!!!!!,2017,200.0,1
archangel hellfire,2018,5500.0,9
arena of valor,2016,358329.5,2
arena of valor,2017,2197021.33,15
arena of valor,2018,7076330.62,29
arena of valor,2019,10721766.6,28
arena of valor,2020,10195179.419999998,22
arena of valor,2021,17929981.25,20
arena of valor,2022,27979977.57,84
arena of valor,2023,19185451.77,25
arena of valor,2024,9131679.42,10
arms,2017,3392.1,19
arms,2018,13073.14,56
arms,2019,2570.86,15
arms,2020,2147.3,13
arms,2021,1181.5,8
arms,2022,200.0,2
arms,2023,10.0,1
arms,2024,185.0,2
artifact classic,2018,48716.63,31
artifact classic,2019,70001.6,131
artifact classic,2020,1229.85,20
artifact classic,2021,220.0,4
artifact classic,2022,250.8,4
artifact classic,2023,193.38,3
artifact foundry,2020,774.5,8
artifact foundry,2021,400.0,4
asphalt 9: legends,2019,51520.0,2
assetto corsa,2018,15000.0,1
assetto corsa,2019,109914.1,21
assetto corsa,2020,235634.41,31
assetto corsa,2021,274036.44,47
assetto corsa,2022,329763.25,33
assetto corsa,2023,15572.7,2
assetto corsa competizione,2020,5338.0,13
assetto corsa competizione,2021,262975.1,21
assetto corsa competizione,2022,267601.7,21
assetto corsa competizione,2023,11432.94,3
assetto corsa competizione,2024,14056.35,6
asuka 120% limitover burning fest.,2020,10.0,1
attack on titan tribute game,2016,82000.0,9
attack on titan tribute game,2017,380000.0,13
attack on titan tribute game,2018,475450.0,15
audio trip,2020,250.0,1
audio trip,2021,400.0,1
auto chess,2019,1076322.28,6
auto chess,2020,74998.0,3
auto chess,2021,8400.0,30
auto chess,2022,4000.0,13
battalion 1944,2018,78576.62,7
battalion 1944,2019,128078.05,22
battlefield 4,2016,6070.68,3
battlefield 4,2017,2305.53,1
battlefield 4,2018,10275.45,2
battlerite,2016,12881.739999999998,38
battlerite,2017,23541.71,35
battlerite,2018,28750.0,2
battlerite,2023,54.5,1
beat aim,2020,430.0,6
beat saber,2020,4006.5699999999997,3
beat saber,2021,5758.18,5
beat saber,2022,6410.81,2
beat saber,2023,516.5,1
big buck hunter arcade,2019,76200.0,1
black squad,2018,4470.29,15
black squad,2019,4010.43,2
blade & soul,2016,156182.4,2
blade & soul,2017,149772.0,1
blade & soul,2018,116912.09,1
blade & soul,2019,152738.65,1
blankos block party,2022,250.0,1
blaston,2021,2428.12,6
blaston,2022,15055.44,12
blaston,2023,2139.5,4
blazblue: central fiction,2016,2836.51,2
blazblue: central fiction,2017,29085.1,17
blazblue: central fiction,2018,16723.06,9
blazblue: central fiction,2019,39752.85,8
blazblue: central fiction,2020,3296.84,6
blazblue: central fiction,2021,807.65,2
blazblue: central fiction,2022,8436.3,6
blazblue: central fiction,2023,1330.0,3
blazblue: central fiction,2024,3924.4700000000003,4
blazblue: chronophantasma extend,2016,3974.56,6
blazblue: cross tag battle,2018,19463.33,9
blazblue: cross tag battle,2019,62376.7,23
blazblue: cross tag battle,2020,14026.789999999999,6
blazblue: cross tag battle,2021,210.0,1
blazblue: cross tag battle,2022,1795.88,3
blazblue: cross tag battle,2024,810.0,1
bloodline champions,2016,455.32000000000005,4
bloody roar extreme,2022,1370.0,1
borderlands 3,2019,50000.0,1
brawl stars,2019,354376.06,14
brawl stars,2020,1516635.74,30
brawl stars,2021,2038000.0,64
brawl stars,2022,2116000.0,43
brawl stars,2023,2066500.0,55
brawl stars,2024,50000.0,1
brawlhalla,2016,78931.09,68
brawlhalla,2017,167727.69999999998,59
brawlhalla,2018,293604.7,98
brawlhalla,2019,523239.0,125
brawlhalla,2020,535811.6,110
brawlhalla,2021,685307.0,93
brawlhalla,2022,1260786.74,96
brawlhalla,2023,653370.0,39
breakers revenge,2020,16.0,1
call of duty 2,2017,1073.91,1
call of duty online,2016,454864.2,3
call of duty online,2017,327835.2,3
call of duty online,2018,137860.8,1
call of duty: black ops 2,2020,12000.0,1
call of duty: black ops 4,2018,320749.95,37
call of duty: black ops 4,2019,6391689.0,45
call of duty: black ops 4,2020,30000.0,2
call of duty: black ops cold war,2020,256000.0,15
call of duty: black ops cold war,2021,6293000.0,77
call of duty: black ops iii,2016,3862185.84,55
call of duty: blackout,2018,315000.0,6
call of duty: blackout,2019,296608.35,12
call of duty: infinite warfare,2016,125020.99,4
call of duty: infinite warfare,2017,4041684.07,80
call of duty: mobile,2019,7200.0,1
call of duty: mobile,2020,113678.0,3
call of duty: mobile,2021,3060280.0,7
call of duty: mobile,2022,2806006.0,13
call of duty: mobile,2023,1729397.91,14
call of duty: mobile,2024,648270.84,5
call of duty: modern warfare,2019,348612.5,10
call of duty: modern warfare,2020,7152172.0,71
call of duty: modern warfare 2,2016,1700.0,1
call of duty: modern warfare 2,2017,3500.0,2
call of duty: modern warfare 2,2020,2500.0,1
call of duty: modern warfare 2,2023,119.25,2
call of duty: modern warfare 3,2024,225.9,4
call of duty: modern warfare ii,2022,638000.0,5
call of duty: modern warfare ii,2023,5483126.9,33
call of duty: modern warfare iii,2023,220000.0,5
call of duty: modern warfare iii,2024,5800000.0,10
call of duty: vanguard,2021,642500.0,24
call of duty: vanguard,2022,5678500.0,67
call of duty: warzone,2020,2826407.12,106
call of duty: warzone,2021,6156202.01,189
call of duty: warzone,2022,2018900.82,94
call of duty: warzone,2023,853300.0,16
call of duty: warzone,2024,1050000.0,1
call of duty: wwii,2017,275354.31,26
call of duty: wwii,2018,4302666.69,51
capcom vs. snk 2,2017,610.0,2
capcom vs. snk 2,2018,150.0,1
capcom vs. snk 2,2019,790.0,3
capcom vs. snk 2,2020,240.0,1
capcom vs. snk 2,2022,730.0,2
capcom vs. snk 2,2024,990.0,2
catherine,2016,270.0,1
catherine,2017,570.0,2
catherine,2018,450.0,2
catherine,2019,180.0,1
catherine,2020,75.0,1
catherine: full body,2019,185.0,1
cave digger 2,2021,750.0,1
chaos code: new sign of catastrophe,2017,140.0,1
chess.com,2016,59758.979999999996,26
chess.com,2017,72704.95,18
chess.com,2018,170424.01,15
chess.com,2019,154858.11,23
chess.com,2020,810281.92,91
chess.com,2021,1029475.39,121
chess.com,2022,2208700.01,154
chess.com,2023,2263400.0,154
chess.com,2024,1781580.02,124
chess24,2020,1184696.09,10
chess24,2021,1520929.34,9
chess24,2022,1473750.0,9
chess24,2023,139100.0,1
chessarena.com,2022,15395.64,15
chessarena.com,2023,247968.0,7
chex quest,2021,100.0,1
clash of clans,2017,1576.87,1
clash of clans,2019,1455727.0,21
clash of clans,2020,1177609.0,14
clash of clans,2021,793965.0,13
clash of clans,2022,1042150.0,16
clash of clans,2023,1304714.5,10
clash of clans,2024,310000.0,6
clash royale,2016,228859.56,7
clash royale,2017,881996.25,11
clash royale,2018,986262.37,19
clash royale,2019,1053753.0,12
clash royale,2020,1104600.0,9
clash royale,2021,1658821.6400000001,13
clash royale,2022,1385758.43,23
clash royale,2023,1486799.68,28
clash royale,2024,272990.0,10
company of heroes 2,2017,3556.22,1
company of heroes 2,2018,4400.0,1
company of heroes 2,2019,605.0,4
compet,2017,2000.0,1
contractors,2022,1000.0,1
counter-strike online,2016,40000.0,1
counter-strike: source,2019,1000.0,1
crab game,2021,750.0,9
crab game,2022,45200.0,2
creative destruction,2018,100000.0,1
critical ops,2017,10106.41,2
critical ops,2018,40000.0,1
critical ops,2022,24000.0,1
critical ops,2023,24000.0,1
crossfire,2016,1621619.26,24
crossfire,2017,2429468.74,41
crossfire,2018,2171222.06,30
crossfire,2019,1580743.1600000001,14
crossfire,2020,2473598.7,13
crossfire,2021,2117900.5,5
crossfire,2022,2726051.5,9
crossfire,2023,4469012.8,24
crossfire,2024,2794522.0999999996,15
crossfire hd,2020,8882.4,1
crossfire hd,2021,800649.0,1
crossfire hd,2022,432765.0,2
crossfire hd,2023,554304.7,2
crossfire hd,2024,137560.0,1
crossfire mobile,2016,438995.7,1
crossfire mobile,2017,702261.65,3
crossfire mobile,2018,851827.88,3
crossfire mobile,2019,502323.76,2
crossfire mobile,2020,943044.55,6
crossfire mobile,2021,988728.0,6
crossfire mobile,2022,952206.0,6
crossfire mobile,2023,864432.03,6
crossfire mobile,2024,537125.2,7
cs2,2023,5858689.96,182
cs2,2024,15297448.129999999,243
csgo,2016,17268045.48,863
csgo,2017,19295990.9,915
csgo,2018,23319746.08,1024
csgo,2019,22302043.71,955
csgo,2020,16088293.07,630
csgo,2021,21854853.46,568
csgo,2022,17502409.65,535
csgo,2023,15213944.55,304
cultris ii,2020,190.95,1
dead by daylight,2019,15000.0,3
dead by daylight,2020,45000.0,6
dead by daylight mobile,2022,10000.0,1
dead or alive 5: last round,2016,1934.58,5
dead or alive 5: last round,2017,9530.0,7
dead or alive 5: last round,2018,240.0,1
dead or alive 6,2019,72206.54000000001,18
dead or alive 6,2020,410.0,2
dead or alive 6,2021,310.0,2
deadlock,2024,12610.0,4
def jam: fight for ny,2020,170.0,1
def jam: fight for ny,2021,20.0,1
def jam: fight for ny,2022,360.0,1
dengeki bunko: fighting climax ignition,2016,662.3,2
dengeki bunko: fighting climax ignition,2017,390.0,2
dengeki bunko: fighting climax ignition,2018,450.0,2
dengeki bunko: fighting climax ignition,2019,1395.0,4
dengeki bunko: fighting climax ignition,2020,305.5,3
dengeki bunko: fighting climax ignition,2021,650.0,1
diabotical,2020,103859.92,78
diabotical,2021,88873.77,136
diabotical,2022,69411.28,160
diabotical,2023,2927.12,14
digimon rumble arena,2020,70.0,1
digimon rumble arena,2021,130.0,1
dirt rally 2.0,2020,10000.0,2
dirt rally 2.0,2021,20000.0,2
divekick,2016,180.0,1
divekick,2017,240.0,1
divekick,2018,250.0,1
dnf duel,2022,28595.480000000003,11
dnf duel,2023,100000.0,1
dnf duel,2024,550.0,1
doom (2016),2017,7000.0,1
doom ii: hell on earth,2019,1200.0,1
doom ii: hell on earth,2020,2480.0,3
doom ii: hell on earth,2021,428.56,2
doombringer,2021,567.77,4
dota underlords,2019,22635.68,29
dota underlords,2020,3388.5,7
dota2,2016,37464037.33,153
