game_norm,genero,PremiosTotalesUSD,JugadoresTotales,TorneosTotales
acceleration of suguri 2,Fighting Game,410.0,8,3
after-h,First-Person Shooter,83863.4,106,18
age of empires,Strategy,736284.75,624,341
age of empires ii,Strategy,3898508.73,2256,1939
age of empires iii,Strategy,122256.72,172,179
age of empires iv,Strategy,1190813.44,643,423
age of empires online,Strategy,11462.98,52,68
age of mythology,Strategy,188619.58,236,298
aim gods,First-Person Shooter,250000.0,2,1
akatsuki blitzkampf,Fighting Game,20.0,3,1
aliens versus predator 2,First-Person Shooter,43500.0,2,2
alliance of valiant arms,First-Person Shooter,0.0,0,0
among us,Strategy,86000.0,14,8
apex legends,Battle Royale,26153237.01,2317,731
apex legends mobile,Battle Royale,0.0,0,0
aquapazza: aquaplus dream match,Fighting Game,245.0,5,2
arcana heart 3,Fighting Game,1000.0,4,1
arcana heart 3: love max six stars!!!!!,Fighting Game,570.0,8,4
arcana heart 3: love max!!!!!,Fighting Game,410.0,6,2
archangel hellfire,First-Person Shooter,5500.0,14,9
arena of valor,Multiplayer Online Battle Arena,98746138.92,2231,179
ark: survival of the fittest,Battle Royale,0.0,0,0
arms,Fighting Game,22759.9,133,116
artifact classic,Collectible Card Game,120567.26,286,192
artifact foundry,Collectible Card Game,1174.5,21,12
asphalt 4,Racing,29500.0,5,2
asphalt 9: legends,Racing,51520.0,5,2
assetto corsa,Racing,979920.9,302,131
assetto corsa competizione,Racing,561404.09,511,64
asuka 120% limitover burning fest.,Fighting Game,10.0,3,1
attack on titan tribute game,Fighting Game,108650.0,21,15
audio trip,Music / Rhythm Game,650.0,4,2
auto chess,Strategy,1163720.28,133,52
battalion 1944,First-Person Shooter,206654.67,135,29
battlefield 1,First-Person Shooter,0.0,0,0
battlefield 2,First-Person Shooter,94715.22,0,13
battlefield 2142,First-Person Shooter,18546.14,0,4
battlefield 3,First-Person Shooter,25407.46,5,7
battlefield 4,First-Person Shooter,245766.46,204,145
battlefield hardline,First-Person Shooter,13463.28,20,1
battlefield v,First-Person Shooter,0.0,0,0
battlerite,Multiplayer Online Battle Arena,65227.95,88,76
